Content,Label
Naprawdę na tym spinie daleko nie zajedziecie. Szymon Hołownia jest prezesem partii Polska 2050 Szymona Hołowni. Bez tych wpisów byśmy o tym zapomnieli 🙂,Korwin
Ceny warchlaków w Danii bez zmian,Korwin
😂😂🙉🙈🚑,Korwin
Aresztujcie internety!Osoby. które stały i stoją za szkalowaniem mojego dobrego imienia - poniosą prawne konsekwencje tych nienawistnych działań. O kolejnych krokach będę Państwa informował.,Korwin
Czas zemsty.🇮🇱✡️🕎,Korwin
President  departs for Michigan!   #Trump2024,Korwin
21 października br. podczas posiedzenia plenarnego Rady Dialogu Społecznego poświęconego sytuacji w Poczcie Polskiej przewodniczący ZZPP przytoczył wyniki referendum strajkowego. w którym - jak wskazał - 96 proc. z 34 tys. głosujących pracowników opowiedziało się za rozpoczęciem,Korwin
Let him in JOY 😀,Korwin
Ile przeznaczył na LGBT? Proszę o dane.Dzisiaj sesja. Wspólnie z @pisorgpl nie udzielamy absolutorium @trzaskowski_ czy  za przeznaczenie jedynie  40 tysięcy złotych na obronę cywilna Warszawy w 2023 po Prezydenta powinna przyjechać winda z piekła?:),Korwin
Sobieski now 😎,Korwin
Uzbekistan wkracza w proces przekształcania odpadów w energię.  Ministerstwa Ekologii. Energii i Inwestycji Republiki  ogłosiły właśnie budowę 8 spalarni odpadów komunalnych do produkcji energii elektrycznej w 8 regionach Uzbekistanu.  Inwestorami i operatorami będą Chińczycy i,Korwin
Z prac Izby Polska Azja współpraca z Kazachstanem w Listopadzie 12 listopada Państwo Kazachskie na mapach Europy i Ameryki XV-XIX wieku,Korwin
była pani na Targach Kosmetycznych ?,Korwin
Wrzeszczący  from the river to the sea nie powiedzieli. że nie idzie o Morze Śródziemne. ale o każde morze. do którego będą mogli spychać  niewiernych. Bo Żydzi to oczywiście tylko początek. Dżihad na nich się nie skończy.,Korwin
#BeLikePoland 🇵🇱,Korwin
Was to bawi?,Korwin
W punkt  !👇 #Powodź,Korwin
Ja mówię: niech sie Rosja z Ukraina w tej sprawie dogadaja lub wojują.,Korwin
Dobra już idź do tego Trzaskowskiego.,Korwin
11-XI w Święto Zakończenia I Wojny Światowej sympatycy partii KORWiN spotykają się na meetingu o 13.00 przed rozbieraną CePeLiĄ (na przeciwległym rogu niż Czapka Generalska). Niektórzy potem idą na Marsz. choć rząd II RP (londyński) zakazał w 1940 obchodzenia tego święta...,Korwin
To niestety nieprawda. Będzie żyło w najlepsze.,Korwin
Dokładnie tak.,Korwin
To me it seems. at first sight. like an act of a botched provocation. It looks totally untrustworthy. However. the incident needs further investigation. of course.  will definitely take all the steps needed to identify the culprits as soon as possible.,Korwin
Muszę potwierdzić :  rządzi 😂Ta komisja to ma jakiegoś przewodniczącego czy się tak ot po prostu odbywa sama z siebie?,Korwin
14 listopada 2024 r. zapraszamy na konferencję Motoryzacja wczoraj. dziś i jutro w Centrum Konferencyjnym Legnicka Specjalna Strefa Ekonomiczna S.A.. W trakcie wydarzenia poprowadzimy dwie grupy robocze:   🔧 Grupa Jakościowa – W tej sesji omówimy. jak skutecznie budować,Korwin
Obejrzałem na YT kilka tekstów o Norylsku. Nie ma tu znaczenia. że to za kołem podbiegunowym i w Rosji; chodzi o sposób myślenia. Autorzy nazywają Norylsk najgorszym miastem w Rosji,Korwin
Jakie mordowanie tysięcy ludzi? Wojna to normalna rzecz. Napoleona też Pan nazwiesz zbrodniarzem?,Korwin
Taniej płacić Koreańczykom niz Rosjanom...,Korwin
Złodziejeeeee internetu!,Korwin
Nie czytałem od dawna żadnej prasy rosyjskiej... Zreszta o rosyjskiej propagandzie mam jak najgorsze zdanie. Kłamie mniej od amerykańskiej. ale znacznie głupiej.,Korwin
Kto by pomyślał. że 80 lat po wojnie. Polacy jeszcze raz będą musieli pokonać nazizm. tym razem w lokalu wyborczym.,Korwin
Główna stopa NBP. stopa referencyjna. została utrzymana na poziomie 5.75 proc. Stopa depozytowa wynosi 5.25 proc.. stopa lombardowa - 6.25 proc. Stopa redyskontowa weksli została utrzymana na poziomie 5.8 proc.. a stopa dyskontowa weksli wynosi nadal 5.85 proc.,Korwin
Mnie nie boli jako Polaka. Po prostu boję się wojny nuklearnej.,Korwin
👇Marczuk: kolejne kilkaset firm dostanie wezwania do zwrotu subwencji z tarcz antycovidowych #PAPinformacje https://pap.pl/aktualnosci/marczuk-kolejne-kilkaset-firm-dostanie-wezwania-do-zwrotu-subwencji-z-tarcz…,Korwin
Donald Trump kolejny raz wyszedł do Many Men 50 Cent.  Kto zna tekst ten wie! #Trump2024,Korwin
Przede wszystkim nie przesądzałabym z góry płci osoby kandydującej. . bo to dyskryminujące.,Korwin
Powiem tak: ma inne warunki… 🙄,Korwin
Właśnie wielu rodzinom chcemy życie ułatwić.,Korwin
Córka Muska właśnie ogłosiła. że po zwycięstwie Trumpa opuszcza Amerykę.,Korwin
Kolejne gminy podnoszą opłaty za odbiór i zagospodarowanie odpadów. Z 32 do 37 zł od osoby wzrośnie od 1 stycznia roku opłata za odbiór i zagospodarowanie odpadów na terenie gminy Ostrzeszów. 27 zł płacić będą od nowego roku mieszkańcy gminy Golina.,Korwin
Widzę. że Pan tu nowy na moim wallu.,Korwin
President Trump will stop World War III.,Korwin
Polska nie jest krajem partii masowych.,Korwin
Jeśli idzie o współczynnik waleczności. to nasze tenisistki wyprzedzają naszych piłkarzy o kilka długości. To u nich widzę waleczność. pasję i determinację.  Go girls!💪🇵🇱👠✌️,Korwin
Teraz czekam na wywiad Jakimowicza z Macierewiczem. Najlepiej na miejscu.,Korwin
Z Radkiem to my się my się po prostu znamy prywatnie.,Korwin
Dziękuję za komentarz podbijający zasięgi. Senkju.,Korwin
To. czy ktoś jest naprawdę przygotowany. czy nie. okazuje się dopiero w momencie zero: nikt nie sądził. że Zełenski z komika tak sprawnie przeistoczy się w męża stanu. A z kolei Komorowski (który wygrał prawybory z Sikorskim) nie udźwignął roli prezydenta.,Korwin
O 20 powiem kro wygra i kto przegra prawybory w KO.  Kto wygra prawybory? | Tomasz Lis LIVE! 21.11.2024  przez,Korwin
W ostatnich trzech miesiącach na zakupy online Polacy przeznaczyli średnio 2661.31 zł. przy czym grupa wiekowa 25-34 lata wydała średnio 3480.29 zł. co wskazuje. że młodsze osoby dorosłe są kluczowe dla e-commerce.,Korwin
God help America 🤦‍♂️  #Trump2024,Korwin
USA ostrzegły niosących pomoc humanitarną by nie szli z nią do potrzebujących jej ludzi w płn.Ghazie. RPA wypełniła w Międzynarodowym Trybunale Sprawiedliwości dokumenty stwierdzające ludobójstwo popełniane przez Izrael w Ghazie:,Korwin
Przecież tak jest w każdym programie. także w Polsacie. bo jesteście przez wszystkie media traktowani jako jeden komitet wyborczy razem z PSL-em.,Korwin
Dobry jest ten młody człowiek. Bez znieczulenia.Prętem po kratach. Jak to dobrze. że jednak ludzie pamiętają!,Korwin
Nie jestem mizoginem. nie mam żadnych urazów do kobiet. Nie mam też żadnych urazów do młodzieży. Gdyby jednak 16-latki miały prawo głosu byłbym za tym. by je im odebrać. To. że kobiety je jeszcze mają. a młodzi jeszcze nie - nie ma żadnego znaczenia. To jest albo dobre albo złe.,Korwin
Nie. przegrał z powodu szeregu własnych decyzji za które do dzisiaj nie chce wziąć odpowiedzialności.,Korwin
Nissan podjął działania mające na celu redukcję siły roboczej ( 9 000 ) i zdolności produkcyjnych. ponieważ firma walczy o wyjście z kryzysu zysków. który może wymagać zmiany kultury korporacyjnej.  U podstawy tych działań leży błąd strategiczny: Nissan skupił się na pojazdach,Korwin
Bo głupi jesteś. Bywa.,Korwin
Ameryka jest w swym rdzeniu krajem prawicowym. konserwatywnym. tradycjonalistycznym i patriarchalnym. Możliwe. że jej apetyt na progresywne i postępowe rewolucje na kilka dekad wyczerpała prezydentura Obamy.,Korwin
Obywatelski PiS-owski pewnie już pyta swoich czy na konferencjach prasowych może czytać odpowiedzi z kartek.,Korwin
Wspaniały duet!!!,Korwin
Oczywiście!,Korwin
Niby dlaczego?,Korwin
Większość białych kobiet też zagłosowała na Trumpa. A tyle było trucia. że kobiety pokonają Trumpa. bo zależy im głównie na aborcji. Postępowe mity. Bez związku z rzeczywistością.,Korwin
Nie lubię jego sposobu zarządzania moim miastem: braku udziału w sesjach rady miasta i rad dzielnic. robienie polityki za pomocą selfie.,Korwin
OCZYWISTA nieprawda. Gdyby kobiety też pracowały i też zarabiały (rozumiem: tak,Korwin
w sektorze MŚP   dane Zakładu Ubezpieczeń Społecznych wzrost zaległości przedsiębiorców sięga 18.5 proc. w ujęciu rok do roku - w I półroczu 2024 wyniosły one przeciętnie 31.4 tys. zł. podczas gdy rok temu było to 26.5 tys. zł.,Korwin
Skoro nie potrafimy złapać przestępców z PiS. to łapiemy swoich. Jest to jakaś koncepcja.,Korwin
Wycofają kontrasygnatę swoich słów i czynów?,Korwin
Dlaczego miałaby to robić. mając własnego kandydata lub kandydatkę? Co to za idiotyczne założenia?,Korwin
Dzisiaj mamy przed sobą bardzo konkretne przedsięwzięcie. konkretne zadanie; tym zadaniem jest zwycięstwo sił patriotycznych w wyborach prezydenckich — oświadczył.  Według prezesa PiS to musi być pierwszy krok w stronę tego. można powiedzieć. ponownego wyzwolenia naszego narodu,Korwin
wśród mikrofirm oraz małych przedsiębiorstw obecnie największe obawy budzą ogólnie rosnące koszty prowadzenia działalności gospodarczej - takiego zadania było 36.7 proc. badanych. Na drugim miejscu przedsiębiorcy wymienili podnoszenie składek na ZUS (29.5 proc.). a na trzecim -,Korwin
Czy pan ksiunc miał jakieś kosmiczne skarpetki za te trzy i pół bańki?,Korwin
Już jutro startują targi Taropak w Poznaniu! członkowie Izby Polska Azja obecni!,Korwin
Aha - z 2019. kiedy już reżym opanował komisje wyborcze...,Korwin
To dziś po meczu fotki z Robertsonem?,Korwin
Farciarz. 😉😂✌️,Korwin
Nawet jak księdza wzięli sobie za bohatera. to wybrali złodzieja. Zwykły margines społeczny. Tyle że rozmodlony. A w każdym razie rączki do publicznej modlitwy składający.,Korwin
Biden odpowiedział w języku,Korwin
Jęczybuł?  Co to za patusiarski slang?  No ale skoro tak:   Ogarnij się niemoto bo wstyd przynosisz na dzielni. Za strzelanie z ucha na Polskę niemiaszki was chronią ale przyjdzie wasz polityczny kres.,Korwin
Boli? Ma boleć.,Korwin
I znowu Kamala.#New General election poll   🔵 Harris 50% (+4) 🔴 Trump 46%  Morning Consult #C - 8570 LV - 10/20,Korwin
Grupa Mulliez. do której należy sieć sklepów wielkopowierzchniowych Auchan. przedstawiła  przedstawicielom pracowników proponowany plan zwolnień. który obejmuje łącznie 2389 miejsc pracy we Francji. Decyzję spółka uzasadniła problemami finansowymi - poinformowała agencja AFP.,Korwin
Ksero to tylko Luiza Michalik 🤭,Korwin
On nie jest głupi. jest błyskotliwy i inteligentny. Jest natomiast wprost skrajnie bezczelny. co poczytuje sam sobie za +1000 do męskości.,Korwin
Bank Światowy:Polska odnotowuje największą w Europie liczbę przedwczesnych zgonów spowodowanych zanieczyszczeniem powietrza. szacowaną na ok. 40 tys. rocznie. i jest jedynym krajem na kontynencie. w którym liczba zgonów związanych z zanieczyszczeniem wzrosła pomiędzy 2015 a 2020,Korwin
No problem. bo mój dziadek był w AK i WiN.,Korwin
OK. broni Pan legalizmu - i oczywiście jest prawdą. że w świetle prawa Rzplitej 2 1/2 sądy mogły skazać śp.Pileckiego na smierć - ale też Bolesław Bierut jako prezydent miał prawo i moralny obowiązek Go ułaskawić!,Korwin
A niedługo będziesz dupą w więzieniu.,Korwin
Z 41% na 11%.,Korwin
W wyniku przeprowadzonych rozmów i uzgodnień z bankami Grupa Azoty Polyolefins podpisała umowę zmieniającą do umowy stabilizacyjnej z grudnia 2023 r. dotyczącej finansowania projektu Polimery Police. Umowa będzie obowiązywała do 29 listopada br.,Korwin
#BestiaZKutna rulezzz! 😎,Korwin
Szef polityki zagranicznej UE Josep Borrell starał się wczoraj (9 listopada) zapewnić Ukrainę o niezachwianym wsparciu Europy. kilka dni po tym. jak wygrana Donalda Trumpa w wyborach wywołała niepewność co do jej wysiłków wojennych.,Korwin
Zaproszenie na debatę Forum Dialog+ Wybory w USA i ich znaczenie dla relacji transatlantyckich. dn. 15.11.2024. godz. 11:00 online *   Janusz REITER. prezes Centrum Stosunków Międzynarodowych. były Ambasador Polski w USA i Niemczech *   dr hab.Eliza CHILIMONIUK- PRZEŹDZIECKA.,Korwin
Fabryka we Wrześni produkuje 450 samochodów na każdej zmianie,Korwin
Już pisałem: nie chodzi o OBNIŻENIE podatków od spadku dla niektórych grup. tylko o LIKWIDACJĘ podatku od spadku dla wszystkich. Przecież spadki w rodzinie - na pewno ponad 90% spadków - i tak od dawna nie są opodatkowane!DZIEŃ DOBRY.,Korwin
157!Updated Valuetainment Map: Electoral Results. #vt2024,Korwin
Long story short: kto chce odpartyjnienia SSP? ⤵️ 1. . 2. . 3.    Kto chce utrzymania synekur dla swoich? ⤵️ 1. . 2.,Korwin
Mnie poruszył w taki sposób. że muszę za niego podziękować. Szary człowiek poniósł ofiarę. która bardzo pomogła sformatować tożsamość obrońców demokracji. W tym sensie absolutnie nie była to ofiara daremna. Choć jak śmierć P. Adamowicza. owoce wydała po latach.Wywiad z Ewą Szczęsną poruszył Was dwojako. Dobrze. Musiał poruszyć. 7 lat ciszy o Szarym Człowieku i dość. Pani Ewie ślę Wasze podziękowania.Jej się należą. nie mnie. Za wyważone słowa. Wszystkich Świętych to stosowny moment. Wielu to zrozumie. inni nigdy https://youtu.be/CvbhHv2EtLw?si=0Goylu99i0SH_dTa…,Korwin
Dokładnie tak samo apolityczna. jak kandydat.,Korwin
Tsndeciarze ponad podziałami. Spin dla głupków.,Korwin
Jak to było w PRL: PZPR dzieliła się na 2 nienawidzące się frakcje. Chamy (dziś z łaski Kiszczaka PiS) i Żydy (czyli KO). Dalej ZSL (PSL) i SD (czyli Polska 2050). Aha: i 18 miejsc miały drobne prawicowo-katolickie ugrupowania,Korwin
Thank You  🤝  #Trump2024  #PolesForTrump,Korwin
Liczba sklepów w Polsce wzrosła w 2023 roku o 0.2 proc. rok do roku. czyli o 0.8 tys. i jest ich obecnie ok. 327 tys. - podał GUS.,Korwin
Uważam. że to zdjęcie. Moment szczęśliwego człowieka. a przy okazji człowieka najbogatszego na świecie. Tak. uważam. że jego zaangażowanie to poważne wsparcie dla Trumpa.,Korwin
w zeszłym tygodniu na Targach Przemysłowych wEXPO PTAK....,Korwin
Matysiak powiedziała właśnie. że nie wyklucza startu w wyborach prezydenckich. Dzis start ma podobno ogłosić ten Jakubiak od Kukiza. Szykuje się niezły cyrk.,Korwin
Dzieci. przyjaciół i kolegów z pracy trzeba UŚWIADAMIAĆ,Korwin
Tak. Nazistów należało osądzić na podstawie prawa niemieckiego. które przecież przewiduje KS za znacznie mniejsze przestepstwa. Norymberga była złamaniem podstawowych zasad prawnych (np. Prawo nie działa wstecz - ale nie tylko),Korwin
Dlaczego miałabym cudzemu pomagać?,Korwin
Czy Hamas- lewica organizatorów pogromu w Amsterdamie też nazwie bojownikami walczącymi z kolonializmem? A może jednak lepiej muzułmańskimi miłośnikami terroryzmu i mordowania Żydów?,Korwin
Możliwe - ale jeśli omija. to efektem jest większa liczba wybudowanych mieszkań.,Korwin
Brytyjski dziennik The Telegraph podał w ostatnich dniach. że prezydent elekt USA Donald Trump ma plan zamrożenia wojny na Ukrainie. Według gazety Trump może wezwać wojska państw członkowskich UE i brytyjskie do ustanowienia liczącej ponad 1200 km strefy buforowej między,Korwin
Bezbekowi admini. co sądzimy?Posadzka mostu pieszo-rowerowego jest już śnieżnobiała. Pieszych prosimy. żeby przed wejściem nie zapomnieli o kapciach-chcemy. żeby efekt utrzymał się jak najdłużej! Dla rowerzystów nie mamy jeszcze rozwiązania. ale na pewno jeszcze dziś coś wymyślimy! Udanego piątku Kochani! ❤,Korwin
2/2 Jest w tym dużo groźniejszy.niż  czy  które spierają się z nami (bo też mają jakieś idee. tyle że przeciwne).  od początku powstania usiłuje realizować koniec historii Fukuyamy i wyzuć politykę z idei.pozostawiając tylko spór personalny.,Korwin
Chiny pobudzanie popytu: Do 24 października MOC otrzymało 1.57 miliona wniosków o zachęty do złomowania i 1.26 miliona wniosków o dotacje na wymianę samochodów. Polityka wymiany ożywiła popyt konsumentów. napędziła rozwój nowych. wysokiej jakości sił produkcyjnych. promowała,Korwin
Ta jesień obfituje w istną plagę złodziei na serbskich polach warzyw. Plantatorzy mówią. że złodzieje wchodzą na pola jak na własne i zabierają wszystko. co da się spieniężyć.,Korwin
Ona/jej  Szczeniaków nie będzie. bo sunia jest wysterylizowana.,Korwin
No tak. Bez weryfikacji składek i głosowanie esemesem. Mnie zatem dziwi w tym kontekście liczba członków Partii Razem. która wzięła udział w ich referendum. także robionym za pomocą SMS (i to trwającym dwa dni): raptem 800 na 3.5 tys deklarowanych członków.,Korwin
W Polsce tzw tajemnica dziennikarska to coraz częściej po prostu pretekst by nie  ujawniać. że informacja jest ordynarną konfabulacją,Korwin
To GlOcio jest przerażające. Huragany. tornada i zniszczenia. Konkretnie: grozi zniszczenie Sahary!  Zalewają ją deszcze. Jeszcze paręnaście lat i wspaniałe piaski mogą zniknąć przykryte ohydnym zielonym całunem traw.  Ratujmy Saharę! Nie palmy w kominku!,Korwin
nawet połowa dorosłych w wieku 20–24 lat pracuje na umowę na czas określony. a w grupie 25–29 lat odsetek zbliża się do 30 proc. Odsetek młodych dorosłych zatrudnionych na czas określony należy w Polsce do najwyższych w Europie. a odsetek umów na czas określony przechodzących w,Korwin
Województwo mazowieckie jest gospodarczo większe od Ukrainy oraz prawie dorównuje Węgrom...👇  Drugie największe województwo w Polsce pod względem PKB jest na równi z Luksemburgiem i niewiele brakuje mu do Bułgarii.   Nasze najmniejsze województwo pod względem PKB dorównuje pod,Korwin
Will do.,Korwin
Podpisałam się. jak wszyscy inni szefowie klubów koalicji rządzącej. pod ograniczeniem wzrostów dla wszystkich instytucji. to była jedna poprawka. W sprawie PIP będziemy składać osobną poprawkę.,Korwin
Ale mina dziennikarzy zadających mi pytania A na kogo pani zagłosuje w II turze?. a który kandydat jest lepszy: RT czy RS?. kiedy mówię. że na kandydata lub kandydatkę Lewicy. bezcenna. I oczywiście nigdy nie publikują tych moich odpowiedzi.,Korwin
Knapik tak.,Korwin
Lisy i Giertychy? Naucz się kultury. chamie!,Korwin
Jak Leszke.,Korwin
Widzę. że politycy KO z lubością szydzą z możliwej kandydatury Czarnka.  Z każdego możliwego punktu widzenia to błąd. Plus prezent dla PiS i Czarnka.  PS. Z Dudy też mieliśmy polewkę.🤷‍♂️,Korwin
Radek Sikorski przystąpił do twardej batalii. i chwała mu za to. Jego zwolennicy mają wszelkie prawo wyrażać dla niego wsparcie. Ale zastanawiam gdzie jest punkt. w którym to jak niektórzy z nich to robią. bardzo uderzy i w KO i w szanse jej kandydata. Mam wrażenie. że ten punkt,Korwin
Nie. nie zapomnieliśmy.   Pamiętamy i nie zapomnimy. O Jaruzelskim oraz Michniku.   Nigdy.,Korwin
Mój komentarz o największym kłamstwie w polskiej historii. za którym stoi Kaczyński. Macierewicz to narzędzie. jego albo jego i Rosjan.  Największe kłamstwo w historii Polski | TOMASZ LIS KOMENTARZ 24.10.2024  przez,Korwin
Dobry  Czerwony to martwy Czerwony - a czy Czerwony jest biały. czarny. żółty czy brunatny - to bez znaczenia.,Korwin
To nie jest głosowanie nad ustawą.,Korwin
Ani Giertych. ani Petru. ani ja nie jesteśmy w rządzie.,Korwin
Poczta w USA działa koszmarnie. Już ponad 2 tygodnie od wyborów. a nadal spływają setki głosów. Dziwnym trafem: na Demokratów. Szczególnie w Kalifornii przewaga kandydatów Republikanów topnieje. jak śnieg na wiosnę. Ostatecznym wynikiem będzie zapewne tylko 220 : 215. Może 221...,Korwin
sektor meblarski w poprzednim roku w branży zawieszono działalność blisko 1.9 tys. firm. (wzrost o 4.4 proc. rdr.). Podkreślono. że w pierwszej połowie 2024 roku działalność zawiesił kolejny 1 tys. firm.,Korwin
Tylko 74%!? Ludzie. to gdzie wy trzymacie śmieci?,Korwin
Jeśli związków partnerskich nie będzie. to będzie to wyłącznie wina nas. wyborców. przynajmniej tych z nas. którzy głosowali na ugrupowania. którzy z nimi walczą.,Korwin
🤝,Korwin
Tu ostro zaatakowałem dzisiejszą anty-cywilizację. Dodaję: nie chodzi o to. że w należącej jeszcze do cywilizacji Polsce śp.Eligiusz Niewiadomski został rozstrzelany za zamordowanie śp.Gabryela Narutowicza - tylko o to. że jako człowiek cywilizowany sam się kary śmierci domagał.,Korwin
# TrzaskowskiBliskoLudzi. blisko ludzkich spraw.,Korwin
Ma Pan już sformułowane zarzuty? 👇,Korwin
Polacy wolą Kamalę. PiS-ie i konfederackie czopki  kandydata Putina.,Korwin
Stay calm. Focus. Deliver.  Will do it.,Korwin
Wielki sukces Trumpa. ale  czynie znaczy początek Amenryki? Tryumf Trumpa | TOMASZ LIS KOMENTARZ 6.11.2024  przez,Korwin
unieważniając małżeństwo,Korwin
Mówiłem. że nasza wojna z Ukrainą potrwałaby może 10 dni? M. in. dlatego. że dawniej księża sławili walkę za Ojczyznę - a dziś pseudo-kapłani bredzą. że Życie ludzkie jest Najwyższą Wartością.,Korwin
Zaprosili dżihadystow żeby żyli na koszt ciężko pracujących ludzi. a potem się dziwią. że im rozwalają kraj. Na szczęście to nie Poland. ale Holland.,Korwin
Oni zwierzęta lepiej karmią. A te wszystkie mamałygi są chyba tak bardzo popularne. że z powodu bardzo drogiej opieki dentystycznej większość Amerykanów ma ubytki w szczęce: brakuje im zębów do gryzienia.,Korwin
Zarząd Alchemii. spółki zależnej Boryszewa. zdecydował o rozpoczęcia procesu likwidacji oddziału Rurexpol w Częstochowie.Alchemia S.A. zdecydowała się na zamknięcie zakładu Rurexpol w Częstochowie. co spowoduje zwolnienie setek osób. Zamknięcie ma nastąpić w wyniku trudnej,Korwin
Wg Zybertowicza elektorat PiS jest mądrzejszy niż elektorat KO. bo po obejrzeniu TVP oglądał też TVN. A ten drugi do TVP nie zaglądał. Jedzący dobrą zupę nie muszą dla poprawki jeść zupy z gówna. Może dlatego nie zaglądał. Nie wiem czy dowód kretynizmu.,Korwin
Warto 👇,Korwin
Tak.,Korwin
Też jak ch. Czemu Pan nie pyta,Korwin
W komentarzu do poprzedniego wpisu określiłem COP jako bzdet. Co budzi opór niektórych - bo jak taki gigant nazwać bzdetem?,Korwin
w najbardziej optymistycznym scenariuszu. w latach 2025-2026 w miastach regionalnych planowane jest oddanie do użytku łącznie 382 000 m kw. powierzchni biurowej. z czego ok. 141 000 jest już w budowie.,Korwin
Ponad 60 proc. firm deklaruje. że nie zaczęły przygotowań do wdrożenia nowego systemu raportowania CIT (JPK CIT) - wynika z badania Grant Thornton. 70 proc. badanych firm jest zdania. że nowa procedura oznacza wzrost obciążenia dla ich działów finansowo-księgowych.,Korwin
Powiedział facet. który sam był w PZPR-e 🙄,Korwin
Po raz setny dziennikarze zadają innym kandydatom na prezydenta pytanie czy poprą Trzaskowskiego.Po pierwsze.nawet nie zaczęła się jeszcze kampania.po drugie. Trzaskowski musi wejść najpierw do II tury. Nie.żaden szanujący się kandydat nie będzie odpowiadał na tak postawione pyt.,Korwin
Jeśli popadnie w kolejną smutę...,Korwin
Najpierw nieznajomość gołębia grzywacza. teraz udowodnienie kompletnej nieznajomości językowych realiów II RP. Posełki to był termin używany przed wojną na określenie kobiet posłów. Gugiel aż tak bardzo Panią dzisiaj boli?,Korwin
Kochani! Jak taka rakieta trafi w obiekt cywilny to ginie zazwyczaj parę osób. To nie humanitaryzm tylko to się po prostu nie opłaca. Rakieta kosztuje - a Rosjanie umieją liczyć.,Korwin
Nie kłóćcie się 😎Jeżeli Trzecia Droga nie dotrzyma umowy. @__Lewica powinna wyjść z koalicji. To decyzja @__Lewica. x.com/300polityka/st…,Korwin
Adam. na razie będzie Twój. za kilka dni. A ten majowy to tylko figura. Będzie pewne zwycięstwo.,Korwin
Pszenica na CBoT w kontrakcie grudniowym podrożała o 0.7 proc. i kosztowa 210.35 USD/t. W ujęciu r/r notowania nie zmieniły się. Cena kukurydzy w kontrakcie z dostawą w grudniu na giełdzie w Chicago wzrosła o 0.5 proc. i wyniosła 164.76 USD/t. a przez ostatni rok obniżyła się o,Korwin
Strasznie cieniutki ten gość od Holowni. Zupełnie bezradny.,Korwin
DEPORT all illegals.   All of them.,Korwin
Nie.,Korwin
Bardzo łatwo - powyżej roku do Niemiec lub Dubaju. Pan chyba żyje innym świecie. niż większość ludzi w Polsce.,Korwin
